name,rsna_test/mAP_run_results,rsna_test/mAP_mean,rsna_test/mAP_std,rsna_test/mAP_num_runs,rsna_test/mAP_95_interval,rsna_test/mAP@0.5_run_results,rsna_test/mAP@0.5_mean,rsna_test/mAP@0.5_std,rsna_test/mAP@0.5_num_runs,rsna_test/mAP@0.5_95_interval,rsna_test/mAP@0.75_run_results,rsna_test/mAP@0.75_mean,rsna_test/mAP@0.75_std,rsna_test/mAP@0.75_num_runs,rsna_test/mAP@0.75_95_interval
ablation_convirt_lr,0.14340588450431824;0.1826012134552002;0.153424933552742;0.15459273755550385;0.15459273755550385,0.1577235013246536,0.0146797118560826,5.0,0.0128673347713216,0.21067431569099423;0.2753717005252838;0.23371614515781405;0.23152081668376925;0.23152081668376925,0.2365607589483261,0.0236394320695442,5.0,0.0207208758063398,0.007411393336951733;0.01922408491373062;0.008119873702526093;0.010868031531572342;0.010868031531572342,0.0112982830032706,0.004701030885424,5.0,0.0041206352526606
ablation_g_only,0.1283973753452301;0.1364344209432602;0.15373040735721588;0.15434975922107697;0.1364344209432602,0.1418692767620086,0.0115868061252037,5.0,0.0101562833661221,0.20068500936031344;0.2090899646282196;0.22845196723937988;0.23362505435943604;0.2090899646282196,0.2161883920431137,0.0141028604143478,5.0,0.0123617021889597,0.004885413683950901;0.005394450388848782;0.009848875924944878;0.01078881323337555;0.005394450388848782,0.0072624007239937,0.0028175336488286,5.0,0.0024696771329281
ablation_g_single_sent_att,0.153275266289711;0.15178994834423065;0.17421607673168182;0.15178994834423065;0.17421607673168182,0.1610574632883072,0.0120274111107362,5.0,0.0105424906640814,0.22384722530841827;0.2233562469482422;0.25722962617874146;0.2233562469482422;0.25722962617874146,0.2370037943124771,0.0184646618940167,5.0,0.016184989757216,0.01044115610420704;0.01619730517268181;0.01616949774324894;0.01619730517268181;0.01616949774324894,0.0150349523872137,0.002568047829351,5.0,0.0022509931702327
ablation_no_g,0.10876420885324478;0.12701626121997833;0.12701626121997833;0.12701626121997833;0.12701626121997833,0.1233658507466316,0.0081625659641804,5.0,0.0071548045277595,0.15861332416534424;0.19001470506191256;0.19001470506191256;0.19001470506191256;0.19001470506191256,0.1837344288825989,0.014043124454418,5.0,0.0123093413114547,0.004648631904274225;0.010212483815848827;0.010212483815848827;0.010212483815848827;0.010212483815848827,0.0090997134335339,0.0024882302182045,5.0,0.0021810299493372
ablation_no_l,0.15824952721595764;0.16742002964019775;0.1809573769569397;0.1809573769569397;0.1809573769569397,0.1737083375453949,0.0104422620906878,5.0,0.0091530462864697,0.22999610006809235;0.25407737493515015;0.2595132291316986;0.2595132291316986;0.2595132291316986,0.2525226324796676,0.0128108080467899,5.0,0.0112291683546148,0.015281068161129951;0.009377745911478996;0.02259800210595131;0.02259800210595131;0.02259800210595131,0.0184905640780925,0.0059991136936397,5.0,0.0052584550013014
ablation_no_l_report,0.12158030271530151;0.1302209198474884;0.15086090564727783;0.1302209198474884;0.15086090564727783,0.1367487907409668,0.013356766076098361,5.0,0.011707721667041872,0.1798003315925598;0.19718366861343384;0.23049396276474;0.19718366861343384;0.23049396276474,0.20703111886978148,0.022563634548306736,5.0,0.019777897702434835,0.009475501254200935;0.004096164368093014;0.009556868113577366;0.004096164368093014;0.009556868113577366,0.007356313243508339,0.0029762805091580282,5.0,0.002608824891125334
ablation_no_l_scan,0.16254045069217682;0.15825185179710388;0.1530800461769104;0.15939819812774658;0.17501404881477356,0.1616569191217422,0.008207505638107,5.0,0.0071941958887479,0.23956280946731567;0.2367698699235916;0.22200283408164975;0.23925654590129852;0.2563461661338806,0.2387876451015472,0.0121955289577707,5.0,0.0106898524542879,0.010897196829319;0.008764153346419334;0.01566922850906849;0.01690649800002575;0.01988177560269833,0.0144237704575061,0.0045269445924559,5.0,0.0039680418889297
ablation_no_spatial,0.16232894361019137;0.1665475070476532;0.15525473654270172;0.12963208556175232;0.16795703768730164,0.15634406208992,0.0157282120585252,5.0,0.0137863857203386,0.25040262937545776;0.23365870118141177;0.2363653928041458;0.19264505803585052;0.24260754883289337,0.2311358660459518,0.022461425954652,5.0,0.0196883079200225,0.007720217574387789;0.022151971235871315;0.010727815330028534;0.008934657089412212;0.018867304548621178,0.0136803931556642,0.0064310789249168,5.0,0.0056370892207538
ablation_noweight,0.15756835043430328;0.14793792366981506;0.1792076826095581;0.1792076826095581;0.1792076826095581,0.1686258643865585,0.0148844225334544,5.0,0.0130467715915284,0.23837321996688843;0.22289234399795532;0.25838372111320496;0.25838372111320496;0.25838372111320496,0.2472833454608917,0.0161552337305225,5.0,0.0141606867190276,0.006762681994587183;0.006874657701700926;0.027075396850705147;0.027075396850705147;0.027075396850705147,0.0189727060496807,0.0110951369516901,5.0,0.0097253163339103
ablation_noweight_no_att,0.1480274349451065;0.15873965620994568;0.15873965620994568;0.15873965620994568;0.15873965620994568,0.1565972119569778,0.0047906509876398,5.0,0.0041991907358169,0.21725234389305115;0.233749121427536;0.233749121427536;0.233749121427536;0.233749121427536,0.230449765920639,0.0073775831953599,5.0,0.006466736793518,0.007566186133772135;0.010464800521731377;0.010464800521731377;0.010464800521731377;0.010464800521731377,0.0098850776441395,0.0012962997624071,5.0,0.00113625684008
